"comid","year","month","day","gbifID","BFI","ftype","waterbody","wbd_classes","decimalLongitude","decimalLatitude","huc12","huc2","numday_above_tmax","numday_below_tmin","dd90_5c","dd90_8c","dd90_10c","dd120_5c","dd120_8c","dd120_10c","dd150_5c","dd150_8c","dd150_10c","maxflow","maxflowdate","minflow","minflowdate","avgflow","maxminflowdiff","avgtemp","streamorder"
10577163,2017,7,17,3044675730,22,"ArtificialPath",1,"LakePond",-88.18562729,36.88909924,60400051004,6,15.6,21.5,342.0610345,193.9894121,124.2307197,691.0881877,455.7423057,331.2485441,1207.258471,881.9125893,697.4284595,1.1938487,180.45,0,28.75,0.063892361,1.1938487,17.84267321,8
14637357,2007,5,24,1896919104,51,"StreamRiver",0,NA,-81.52467188,37.16246918,60102050101,6,0.25,48.95,139.4718215,60.07706405,31.11483035,365.2202666,208.6331484,135.3936543,746.2793278,501.1320194,370.0189946,1.5787344,118.7,0,63.2,0.139416179,1.5787344,13.87713929,2
14637413,2010,5,22,1896918922,51,"StreamRiver",0,NA,-81.54804902,37.13778329,60102050101,6,0,53.3,147.1883034,65.01418755,34.36954345,369.4417822,211.0280334,137.3931643,731.456696,484.7148867,353.6555061,0.5460085,116.95,0,73.95,0.047637478,0.5460085,13.37987372,3
14637431,2010,4,21,1896918553,51,"StreamRiver",0,NA,-81.55593463,37.1273697,60102050101,6,0,53.3,147.1883034,65.01418755,34.36954345,369.4417822,211.0280334,137.3931643,731.456696,484.7148867,353.6555061,0.5460085,116.95,0,73.95,0.047637478,0.5460085,13.37987372,4
14637453,2001,8,10,1896918444,51,"StreamRiver",0,NA,-81.58072139,37.12037726,60102050102,6,0,54.2,144.8392832,63.79785365,33.60616195,364.5398742,207.6170313,134.8072528,723.6771165,478.5154536,348.384498,0.55390285,116.9,0,81.7,0.048515557,0.55390285,13.29657673,4
14637585,2008,5,11,1896918248,46,"StreamRiver",0,NA,-81.81030472,37.09654185,60102050104,6,0,52.4,148.3656791,65.62161395,34.7625728,372.493761,213.3316812,139.1685076,737.0977389,489.4691603,357.8471059,0.58287635,112.7,0,70.2,0.049010495,0.58287635,13.44608436,4
14637593,2010,9,4,1896918185,46,"StreamRiver",0,NA,-81.8223305,37.09144561,60102050104,6,0,41.5,182.2786933,84.18309825,46.1511496,430.7758521,252.9686146,168.5510184,822.5514988,555.7033026,413.0300283,0.54563765,120.85,0,77.8,0.045737776,0.54563765,14.26431104,4
14637621,2015,7,27,1896918295,51,"StreamRiver",0,NA,-81.58163188,37.09157243,60102050101,6,0.15,50,139.2853035,59.86864955,30.84671485,362.7962919,206.4073248,133.2367235,743.4833543,498.61336,367.5375318,2.2585439,118.9,0,70.7,0.205135376,2.2585439,13.81060449,2
14637631,2002,10,21,1896918093,49,"StreamRiver",0,NA,-81.77368063,37.08169309,60102050104,6,0,46.8,164.6795746,74.160026,39.93429805,401.0773192,232.2819001,153.0309197,779.9120339,522.3249012,385.0809332,0.54422455,125.4,0,77.05,0.045411065,0.54422455,13.8739043,4
14637741,2013,10,17,1896918060,44,"StreamRiver",0,NA,-81.85313812,37.06704922,60102050105,6,0,41.75,181.8471934,83.9204158,45.98419575,429.9290037,252.3684414,168.1003487,821.3369595,554.7373451,412.2135547,0.5461734,120.85,0,86.3,0.04553674,0.5461734,14.25238321,4
14637771,2007,5,2,1896917798,53,"StreamRiver",0,NA,-81.5367161,37.05675039,60102050201,6,0,56.85,141.1863179,61.9894425,32.3626602,352.619071,198.999081,127.9648304,701.8631727,460.3965086,332.5154879,0.5691883,116.95,0,97.75,0.05113502,0.5691883,13.0079797,3
